Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,2.3034670920599076,2.301593065261841,10.700977290304436,11.186666666666667
2,2.301196609224592,2.2997244596481323,11.285928987413113,12.066666666666666
3,2.298889852705456,2.2980417013168335,12.063566253797616,12.573333333333334
4,2.2961789653414773,2.2964717149734497,12.133841951587078,12.826666666666666
5,2.2940685635521296,2.2951124906539917,12.506767731456415,13.293333333333333
6,2.2926577726999917,2.293827772140503,12.901933994487763,13.386666666666667
7,2.2911439055488225,2.2926732301712036,13.148422612746137,13.213333333333333
8,2.289314792269752,2.2914825677871704,13.205597820982437,13.426666666666666
9,2.2876774810609364,2.290195941925049,13.870099473376243,13.8
10,2.285979089282808,2.288869023323059,14.282691991255495,13.893333333333333
11,2.284648134594872,2.2878443002700806,14.024691358024691,14.0
12,2.283115648088001,2.286133050918579,14.508393285371703,14.293333333333333
13,2.2821291401272727,2.28469717502594,14.695762831691567,14.666666666666666
14,2.280932767050607,2.2832717895507812,14.748328884899733,14.746666666666666
15,2.277910107658023,2.281994938850403,15.327352996430584,14.933333333333334
16,2.276821726844424,2.2806402444839478,15.328761597418314,14.88
17,2.276034116744995,2.278957486152649,15.365957045968349,15.04
18,2.2741301627386186,2.2777609825134277,15.737765982213531,15.373333333333333
19,2.27163409051441,2.2760674953460693,16.142074704402813,15.306666666666667
20,2.268757014047532,2.274606227874756,16.391701479855556,15.733333333333333
21,2.26937198638916,2.2730990648269653,16.258765943427306,15.933333333333334
22,2.2677539870852517,2.271531820297241,16.364542305319603,16.04
23,2.2653648853302,2.2699121236801147,16.70883110798782,15.973333333333333
24,2.263099023274013,2.2684688568115234,16.949232142018502,15.92
25,2.2611753145853677,2.2666643857955933,17.129099366541222,16.2
26,2.2591034798395064,2.2651480436325073,17.37127817075177,16.36
27,2.2568188508351645,2.2635598182678223,17.339385474860336,16.68
28,2.254996208917527,2.2619993686676025,17.852863084189007,16.44
29,2.2533074220021567,2.259884834289551,17.71684123808403,16.546666666666667
30,2.251393409002395,2.2579591274261475,17.89879586477727,16.64
31,2.2478751000903903,2.2561841011047363,18.477748444276823,16.933333333333334
32,2.2470337322780063,2.2541041374206543,18.33083885681705,17.333333333333332
33,2.245094208490281,2.251930356025696,18.50210920745646,17.266666666666666
34,2.2419607639312744,2.24972927570343,18.813388611716206,17.52
35,2.2396055516742526,2.247314691543579,19.01146978834102,17.76
36,2.2378391992478144,2.2448782920837402,18.800872604442777,17.893333333333334
37,2.2353220780690513,2.242434024810791,19.259311446150956,17.72
38,2.2336477552141463,2.2399020195007324,19.191275405424545,17.973333333333333
39,2.230143592471168,2.237431526184082,19.23558157652447,17.85333333333333
40,2.228963011787051,2.235170364379883,19.31804737228177,17.973333333333333
41,2.2255736873263405,2.232765316963196,19.656159103270507,17.986666666666668
42,2.2222093627566384,2.230183959007263,20.018885741265343,17.933333333333334
43,2.2189746016547796,2.227814555168152,19.933476445471918,18.026666666666667
44,2.2157216299147833,2.224420666694641,20.034546401022194,18.426666666666666
45,2.2144526413508823,2.2216384410858154,19.871855271836427,18.6
46,2.2110670521145774,2.2186622619628906,20.128006023812887,18.946666666666665
47,2.207083781560262,2.2155823707580566,20.273176264858094,19.14666666666667
