Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,4.958635524467185,3.5345017115275064,8.608490566037736,10.666666666666666
2,3.07051322195265,2.868345578511556,11.801242236024844,7.333333333333333
3,2.7386654482947455,2.7310919761657715,11.884753901560623,6.666666666666667
4,2.561803190796464,2.637788772583008,13.599062133645955,9.333333333333334
5,2.5921522511376276,2.727743943532308,13.058823529411764,11.333333333333334
6,2.575778325398763,2.5761896769205728,12.427409988385598,15.333333333333334
7,2.503174658174868,2.715203364690145,15.179606025492468,12.0
8,2.5513677685349077,2.698664824167887,14.199759326113117,8.0
9,2.588136346251876,2.7942036787668862,12.066905615292711,10.0
10,2.6265135252917253,2.6978659629821777,12.865497076023392,12.666666666666666
