Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,5.546126895480686,4.146762688954671,6.367924528301887,15.333333333333334
2,3.537825240029229,3.0959110260009766,13.91304347826087,8.666666666666666
3,2.8312919051558882,2.7042669455210366,13.205282112845138,14.666666666666666
4,2.596440968690095,2.592218557993571,13.24736225087925,14.0
5,2.534423448421337,2.5473594665527344,13.058823529411764,10.0
6,2.475645144780477,2.488186836242676,14.285714285714286,9.333333333333334
7,2.4296517548737704,2.4855770270029702,14.36848203939745,10.0
8,2.4407223418906883,2.504317045211792,14.199759326113117,12.666666666666666
9,2.418376710679796,2.597100575764974,17.084826762246117,5.333333333333333
10,2.4248522740823253,2.5588037967681885,13.099415204678362,12.666666666666666
