Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,5.013696679362544,3.5601359208424888,7.311320754716981,10.666666666666666
2,3.1071668377629034,2.881863594055176,12.422360248447205,7.333333333333333
3,2.7496627966562905,2.724066178003947,12.48499399759904,10.666666666666666
4,2.5649264653523765,2.6295838356018066,14.185228604923799,7.333333333333333
5,2.596743760285554,2.7458465099334717,12.588235294117647,8.0
6,2.5943311055501304,2.5009353955586753,13.008130081300813,14.666666666666666
7,2.5126589934031167,2.6026525497436523,12.05098493626883,14.0
8,2.533319632212321,2.713951031366984,13.477737665463298,10.0
9,2.5347617820457176,2.691112518310547,13.620071684587813,14.666666666666666
10,2.549175227129901,2.5592354933420816,13.450292397660819,10.666666666666666
