Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,4.611918028494469,4.611925723189015,1.0328836424957841,1.1466666666666667
2,4.609183740974369,4.608816680261644,0.9974885087428328,1.2266666666666666
3,4.604742562143426,4.605544340812553,1.1963356333749382,1.3733333333333333
4,4.601738180433001,4.602656558408576,1.3313296860691728,1.3066666666666666
5,4.59831594954756,4.599912877810204,1.3989834212151442,1.4933333333333334
6,4.595886580388349,4.596551208172814,1.4808219499051056,1.68
7,4.591972819306797,4.593880548315533,1.6281303441328743,1.8
8,4.5884571928727,4.590668177200576,1.7356443815587785,1.8533333333333333
9,4.584977878484511,4.587953826128426,1.8993419049626454,1.8533333333333333
10,4.58245960536756,4.5847294128547285,1.9913823221148248,1.8266666666666667
11,4.578644691553331,4.581515360686739,2.2365712146734045,1.92
12,4.5746605177571,4.578340271771965,2.2670083876980427,2.0533333333333332
13,4.572913515478149,4.575481527942722,2.500997114234099,2.2
14,4.5695860052467285,4.572180408542439,2.530755711775044,2.2933333333333334
15,4.56548726361497,4.5690757622153075,2.835252666177966,2.32
16,4.5633809627446915,4.566447629766949,2.79461358866118,2.4133333333333336
17,4.559243045175882,4.5634897280547575,2.9957945470868967,2.6533333333333333
18,4.5566528370505885,4.560694839994786,3.1898566807546103,2.6533333333333333
19,4.553821631123249,4.5573987475896285,3.283180196990812,2.8
20,4.5511123520987375,4.554533093662585,3.2745889069761955,2.84
21,4.547228708482327,4.550917423377602,3.6897412940012253,3.04
22,4.543189314074982,4.547947406768799,3.8942127019917323,3.2533333333333334
23,4.540325865351168,4.544768503156759,3.7714880234565276,3.36
24,4.537112348599542,4.541515811014984,3.946967744957954,3.3466666666666667
25,4.533893215925174,4.537720268055544,4.074204532112246,3.48
26,4.529603610361429,4.534458516007763,4.140014634031203,3.5733333333333333
27,4.525375298091343,4.530991594670183,4.420684934740022,3.6533333333333333
28,4.522279565137132,4.527167037381965,4.406094234928995,3.68
29,4.5192914840870335,4.523399304535429,4.499045014030041,4.04
30,4.515603073378254,4.519860283803132,4.570757486788021,4.1066666666666665
